IID	RVI_Shenzhen-LN_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	1.009020381
WATDE0476	1.01361516
WATDE0526	NA
WATDE0532	NA
WATDE0576	1.019971679
WATDE0612	NA
WATDE0061	1.037058227
WATDE0668	NA
WATDE0714	1.021573859
WATDE0762	NA
WATDE0801	NA
WATDE0868	1.026595095
WATDE0100	1.047691062
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	1.021067483
WATDE0002	NA
WATDE0004	1.019048316
WATDE0005	1.03981528
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	NA
WATDE0013	NA
WATDE0014	NA
WATDE0015	1.032920242
WATDE0016	1.012137721
WATDE0017	NA
WATDE0018	1.024341474
WATDE0019	NA
WATDE0020	1.020883424
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	NA
WATDE0026	NA
WATDE0027	NA
WATDE0028	1.016927642
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.035634431
WATDE0032	NA
WATDE0033	1.019343011
WATDE0034	NA
WATDE0035	NA
WATDE0036	1.030699176
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.040835707
WATDE0042	1.021570066
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	1.022100658
WATDE0048	NA
WATDE0049	1.00679237
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	NA
WATDE0054	1.018670159
WATDE0055	1.032370777
WATDE0056	1.02175035
WATDE0057	1.025084287
WATDE0058	1.020033046
WATDE0059	NA
WATDE0060	1.020926485
WATDE0062	1.013137926
WATDE0063	1.020048783
WATDE0064	1.020610667
WATDE0065	NA
WATDE0066	NA
WATDE0067	NA
WATDE0068	1.024390101
WATDE0069	NA
WATDE0070	NA
WATDE0071	1.023979955
WATDE0072	1.020899375
WATDE0073	NA
WATDE0074	1.025151129
WATDE0075	1.018616851
WATDE0076	1.019835292
WATDE0077	1.02630393
WATDE0078	1.005146718
WATDE0079	NA
WATDE0080	1.012256776
WATDE0081	NA
WATDE0082	NA
WATDE0083	NA
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	NA
WATDE0092	NA
WATDE0093	1.016317044
WATDE0094	NA
WATDE0095	1.019880574
WATDE0096	1.013017716
WATDE0097	NA
WATDE0098	1.023859621
WATDE0099	1.024776121
WATDE0101	1.045315041
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	1.008056304
WATDE0106	NA
WATDE0107	1.001407607
WATDE0108	NA
WATDE0109	NA
WATDE0110	1.015781944
WATDE0111	1.00875254
WATDE0112	1.042718664
WATDE0113	1.009709164
WATDE0114	1.00764391
WATDE0115	1.033505588
WATDE0116	1.020641272
WATDE0117	NA
WATDE0118	1.025299046
WATDE0119	NA
WATDE0120	NA
WATDE0121	1.018387323
WATDE0122	NA
WATDE0123	1.028404507
